date,London,Durham,Halton,Hamilton,Ottawa,Waterloo,Windsor
2020-07-30,673.0,1803.0,826.0,887.0,2522.0,1383.0,2299.0
2020-07-29,668.0,1803.0,826.0,886.0,2503.0,1383.0,2275.0
2020-07-28,668.0,1802.0,826.0,884.0,2483.0,1383.0,2265.0
2020-07-27,666.0,1798.0,826.0,883.0,2469.0,1382.0,2235.0
2020-07-26,666.0,1797.0,826.0,881.0,2447.0,1382.0,2211.0
2020-07-25,663.0,1796.0,826.0,880.0,2426.0,1382.0,2170.0
2020-07-24,661.0,1795.0,824.0,876.0,2400.0,1378.0,2147.0
2020-07-23,658.0,1794.0,823.0,875.0,2366.0,1376.0,2115.0
2020-07-22,651.0,1792.0,818.0,875.0,2336.0,1367.0,2062.0
2020-07-21,648.0,1789.0,816.0,874.0,2323.0,1366.0,2035.0
2020-07-20,647.0,1787.0,814.0,874.0,2300.0,1364.0,2008.0
2020-07-19,645.0,1785.0,812.0,874.0,2254.0,1358.0,1974.0
2020-07-18,645.0,1782.0,811.0,870.0,2225.0,1355.0,1956.0
2020-07-17,643.0,1779.0,808.0,868.0,2209.0,1353.0,1919.0
2020-07-16,640.0,1778.0,806.0,866.0,2191.0,1349.0,1872.0
2020-07-15,639.0,1774.0,804.0,862.0,2184.0,1347.0,1849.0
2020-07-14,639.0,1765.0,802.0,861.0,2169.0,1345.0,1832.0
2020-07-13,639.0,1760.0,797.0,859.0,2165.0,1344.0,1821.0
2020-07-12,639.0,1754.0,793.0,859.0,2160.0,1341.0,1808.0
2020-07-11,638.0,1751.0,792.0,857.0,2151.0,1339.0,1793.0
2020-07-10,633.0,1747.0,790.0,852.0,2144.0,1334.0,1787.0
2020-07-09,632.0,1742.0,787.0,851.0,2132.0,1331.0,1775.0
2020-07-08,631.0,1731.0,784.0,848.0,2127.0,1329.0,1766.0
2020-07-07,630.0,1725.0,783.0,846.0,2122.0,1327.0,1720.0
2020-07-06,628.0,1723.0,779.0,846.0,2116.0,1323.0,1673.0
2020-07-05,628.0,1718.0,772.0,844.0,2116.0,1321.0,1667.0
2020-07-04,628.0,1716.0,764.0,844.0,2111.0,1319.0,1660.0
2020-07-03,628.0,1710.0,761.0,840.0,2107.0,1315.0,1651.0
2020-07-02,628.0,1707.0,758.0,835.0,2103.0,1310.0,1617.0
2020-07-01,626.0,1703.0,755.0,833.0,2099.0,1308.0,1609.0
2020-06-30,625.0,1700.0,751.0,832.0,2095.0,1307.0,1606.0
2020-06-29,625.0,1698.0,750.0,831.0,2085.0,1298.0,1597.0
2020-06-28,624.0,1697.0,749.0,829.0,2084.0,1292.0,1575.0
2020-06-27,621.0,1687.0,745.0,822.0,2082.0,1282.0,1487.0
2020-06-26,616.0,1686.0,739.0,817.0,2079.0,1282.0,1390.0
2020-06-25,612.0,1683.0,734.0,816.0,2073.0,1279.0,1372.0
2020-06-24,611.0,1679.0,731.0,811.0,2067.0,1276.0,1366.0
2020-06-23,610.0,1677.0,729.0,802.0,2064.0,1266.0,1362.0
2020-06-22,609.0,1672.0,727.0,797.0,2060.0,1260.0,1356.0
2020-06-21,606.0,1670.0,718.0,793.0,2054.0,1252.0,1323.0
2020-06-20,605.0,1667.0,714.0,791.0,2053.0,1245.0,1292.0
2020-06-19,602.0,1665.0,710.0,787.0,2052.0,1238.0,1285.0
2020-06-18,602.0,1659.0,710.0,778.0,2047.0,1227.0,1258.0
2020-06-17,599.0,1652.0,706.0,777.0,2045.0,1224.0,1239.0
